,id,date,rating,userName,content
12,13,2020년 10월 5일,1,고구미삼둥이,"나의 개인정보 확인할 수도 없고 탈퇴하기 기능도 없네요. 시스템이 50프로 정도밖에 완성되지 않은 것 같은데 결제카드까지 등록하려니 너무 불안합니다. 1:1 카톡 문의하기는 왜 만드신건지... 질문에 다 이해할수 없다네요. 설정옵션, 개인정보 관리 옵션 등을 좀 자세하게 믿을만하게 개선하세요"
13,14,2021년 10월 27일,1,김하연,고객센터 시스템자체가 이상하고 계속 같은말만 복붙해서 넣고 답도 엄~청느려요 그리고. 환불이 있긴한데 너무 까다롭더라구요. 어플지웠습니다.절대 추천안합니다. 무엇보다 사기먹을수있어요 다른 후기들보시면 알겠지만 자기가 판줄모르고 쓰는사람들많아요 그래서 난처한상황 정말 많답니다.
14,15,2021년 11월 9일,4,MADI LOVE,"정말정말 잘 쓰고 있어요. 그런데 요즘들어 품절된 상품이 계속 목록에 떠있는 경우가 부쩍 늘었어요 ㅠㅠ 이용자가 늘어서 그런 거라 이해하고 싶지만, 타 기프티콘 매매 앱은 상품 재고를 확인할 수 있어서 헛클릭(희망고문)을 하지 않아도 되걸랑요... 이 점은 꼭 개선해주셨으면 하는 바람입니다. 기대를 담아 앞으로도 계속 이용할게요!"
15,16,2021년 4월 7일,5,nana,일단 필요없는 기프티콘을 팔 수 있다는게 최고인 것 같아요. 선물받아도 쓸모 없는 상품이나 이벤트로 받았던 기프티콘들은 판매할 수 없거나 판매하기가 귀찮아 그냥 안쓰고 냅뒀는데 이 앱을 알고는 아깝게 냅둘 필요가 없게됬어요. 최근에야 알게되서 판매는 한번 구매는 못해봤는데 앱 활용도 자체가 좋아서 앞으로 많이 사용할 것 같아요.
16,17,2021년 4월 7일,5,임은영,이벤트 당첨된 깁콘이 쓰고도 남아서 어찌 처리할지몰라 고민하던차에 니폰내콘을 알게되었어요ㆍ처음엔 겁이나서 못하다가 용기내서 해보니 너무쉽더라구요ㆍ가격이 정해지면수락할건지 말건지 고르게 되어있고 만약 조건이 안맞는거면 반려 되는 이유까지 나와서 쉽게 접근해서 사용중입니다ᆢ 저에 고민을 덜어준 니콘내콘 더욱더 성장하는웹이 되세요~
17,18,2021년 5월 21일,5,수진박,에러가 종종 나고 품절또한 빠르지만 그럼에도 불구하고 이런 어플이 잇다는 게 만족스러워요. uiux도 디자인도 불편함이 없고 광고도 너무 많지않아서 좋아요. 특히 결제관련 에러사항을 카카오톡고객센터에 문의했는데 빠르게 해결되진않았지만 최선을 다해서 대처해주신다는 게 매우 좋았습니다. 승승장구 하시길 바래요
18,19,2021년 6월 18일,5,MINUHANI,"신한 기프티스타랑 병행해서 사용하고 있는데, 니콘내콘이 구매 가격이 더 저렴하거나 판매 가격이 더 높은 경우가 많아서 더 자주 이용하게 되는 것 같아요. 판매의 경우, 즉시 출금은 아니지만 며칠 내로 출금 가능하도록 정산되어서 좋은 것 같아요. 앞으로도 애용할게요^^"
19,20,2021년 3월 17일,5,이지혜,다른 어플도 써봤지만 결제방식도 빠르고 다양하게 있어서 좋아요! 아쉬운게 없는데 아쉬운걸 쓰라하면 다쓴 쿠폰을 직접 누르는거??정도입니다 ㅎㅎ 주변에 추천하고 있어요 ㅎㅎ 뭐 사러 들어가기전에 이거 먼저 확인하고 산답니다..
20,21,2019년 3월 30일,5,Google 사용자,카카오톡으로 늘 이용하다가 어플 나왔다고 해서 얼른 깔았네요.니콘내콘을 잘 사용하고 있었는데 앞으로 더 편하게 사용 할수 있어서 좋으네요 니콘내콘은 일단 기프트콘을 안전하게 팔수도 있고 저렴한 가격에 구입 할수 있어서 주변에 계속 이용하라고 얘기 하고 다니고 있어요 앞으로 번창하세요^^
21,22,2021년 4월 7일,5,lov e,품목을 찾기쉽고 점검및 정산이 빠르게되서 편리함. 아직까지 단점찾지못했음. 다른앱들 두가지 더 사용해봤지만 단점이 넘 많아서 삭제하고 현재는 요 앱만 사용중임
